1,Hidden House Coffee,1534 Adams Ave,Costa Mesa,CA,92626,(657) 231-6190,33.674889,-117.921042
2,Starbucks OCC,2701 Fairview Road,Costa Mesa,CA,92626,(714) 432-5854,33.669389,-117.911944
3,Starbucks Mesa Verde,2701 Harbor Blvd,Costa Mesa,CA,92626,(714) 434-8478,33.672968,-117.919853
4,Deli and Bagel Cafe,2947 Harbor Blvd,Costa Mesa,CA,92626,(714) 435-0333,33.680628,-117.919817
5,Vending Machine OCC,2701 Fairview Road,Costa Mesa,CA,92626,N/A,33.67026,-117.91105
6,My House,16402 Everest Circle,Fountain Valley,CA,92708,(714) 839-9678,33.725111,-117.922471
